ID:	--
Memory	--
	--
Chn	--
1403	0,00149
1404	0,00151
1405	0,00131
1406	0,00132
1407	0,00131
1408	0,00115
1409	0,00152
1410	0,00114
1411	0,00132
1412	0,00134
1413	0,00124
1414	0,00117
1415	0,00118
1416	0,00108
1417	0,00115
1418	0,00117
1419	0,00132
1420	0,00105
1421	0,00104
1422	0,00102
1423	0,00132
1424	9,58952E-4
1425	0,00115
1426	0,00125
1427	9,41979E-4
1428	0,00106
1429	0,00102
1430	0,00104
1431	9,08034E-4
1432	9,41979E-4
1433	0,00106
1434	8,14685E-4
1435	9,33493E-4
1436	9,41979E-4
1437	9,1652E-4
1438	6,8739E-4
1439	8,82575E-4
1440	9,08034E-4
1441	9,33493E-4
1442	9,41979E-4
1443	9,58952E-4
1444	9,50465E-4
1445	8,23171E-4
1446	9,50465E-4
1447	8,31657E-4
1448	7,97712E-4
1449	9,08034E-4
1450	8,06198E-4
1451	6,78904E-4
1452	7,63767E-4
1453	6,95877E-4
1454	6,02527E-4
1455	6,70418E-4
1456	7,97712E-4
1457	7,04363E-4
1458	6,70418E-4
1459	7,55281E-4
1460	6,61931E-4
1461	6,8739E-4
1462	8,40144E-4
1463	6,61931E-4
1464	7,12849E-4
1465	6,70418E-4
1466	5,85555E-4
1467	6,61931E-4
1468	7,55281E-4
1469	7,29822E-4
1470	6,36472E-4
1471	5,94041E-4
1472	5,94041E-4
1473	5,00692E-4
1474	7,38308E-4
1475	5,77068E-4
1476	6,11014E-4
1477	5,94041E-4
1478	5,85555E-4
1479	6,27986E-4
1480	7,21335E-4
1481	5,51609E-4
1482	5,43123E-4
1483	5,43123E-4
1484	6,61931E-4
1485	5,00692E-4
1486	5,60096E-4
1487	6,11014E-4
1488	5,85555E-4
1489	5,34637E-4
1490	5,51609E-4
1491	5,77068E-4
1492	5,34637E-4
1493	4,66746E-4
1494	4,15829E-4
1495	5,77068E-4
1496	4,24315E-4
1497	4,49774E-4
1498	5,43123E-4
1499	4,5826E-4
1500	5,00692E-4
1501	4,41288E-4
1502	5,77068E-4
1503	4,66746E-4
1504	5,17664E-4
1505	4,41288E-4
1506	4,83719E-4
1507	4,83719E-4
1508	3,39452E-4
1509	5,68582E-4
1510	4,15829E-4
1511	4,15829E-4
1512	4,83719E-4
1513	4,32801E-4
1514	5,51609E-4
1515	4,49774E-4
1516	3,30966E-4
1517	4,83719E-4
1518	3,73397E-4
1519	4,15829E-4
1520	3,39452E-4
1521	3,64911E-4
1522	4,66746E-4
1523	3,9037E-4
1524	3,39452E-4
1525	4,75233E-4
1526	4,15829E-4
1527	4,24315E-4
1528	3,98856E-4
1529	3,39452E-4
1530	4,24315E-4
1531	3,9037E-4
1532	4,66746E-4
1533	4,49774E-4
1534	4,07342E-4
1535	3,73397E-4
1536	4,24315E-4
1537	3,73397E-4
1538	4,15829E-4
1539	2,46103E-4
1540	4,75233E-4
1541	4,15829E-4
1542	3,73397E-4
1543	3,13993E-4
1544	3,47938E-4
1545	4,92205E-4
1546	2,20644E-4
1547	3,39452E-4
1548	2,63075E-4
1549	4,75233E-4
1550	3,13993E-4
1551	2,9702E-4
1552	2,9702E-4
1553	3,39452E-4
1554	2,54589E-4
1555	2,80048E-4
1556	3,13993E-4
1557	3,39452E-4
1558	4,07342E-4
1559	2,9702E-4
1560	3,39452E-4
1561	2,80048E-4
1562	3,30966E-4
1563	3,56425E-4
1564	3,9037E-4
1565	3,9037E-4
1566	2,88534E-4
1567	4,41288E-4
1568	3,64911E-4
1569	2,63075E-4
1570	3,30966E-4
1571	2,80048E-4
1572	3,05507E-4
1573	3,30966E-4
1574	3,64911E-4
1575	2,20644E-4
1576	2,88534E-4
1577	2,46103E-4
1578	3,30966E-4
1579	2,20644E-4
1580	3,30966E-4
1581	4,07342E-4
1582	2,88534E-4
1583	2,37616E-4
1584	3,13993E-4
1585	3,13993E-4
1586	2,20644E-4
1587	2,12157E-4
1588	1,86699E-4
1589	1,78212E-4
1590	2,9702E-4
1591	2,9702E-4
